0	0	3
1	0	1
2	0	1
3	0	1
3	1	3
4	1	1
5	1	1
2	1	1
6	1	1
7	1	1
0	1	1
8	1	1
9	2	2
7	2	1
10	2	1
11	2	1
12	3	1
13	3	1
14	3	2
15	3	1
16	4	2
17	4	1
18	4	1
19	4	1
20	5	2
21	5	1
17	5	1
22	5	1
23	6	2
7	6	1
24	6	1
11	6	1
1	7	1
2	7	2
25	7	1
3	7	1
14	7	1
26	7	1
0	7	1
27	7	1
28	8	2
29	8	1
30	8	1
7	8	1
31	9	2
32	9	1
7	9	1
23	9	1
18	10	2
17	10	1
11	10	1
5	10	1
33	11	1
7	11	1
34	11	1
9	11	1
35	12	1
11	12	1
17	12	2
36	12	1
37	13	1
5	13	2
11	13	1
4	13	1
38	14	3
30	14	1
39	14	1
3	14	1
40	15	2
41	15	1
42	15	1
43	15	1
